tariff_id,plan_id,ntc,utility,tariff_group,tou_code,weekpart,tou,tou_description,tou_start_time,tou_end_time,step,public_holiday,time_zone,rate_method,rate_start_date,rate_end_date,rate_dollar_per_uom,uom,dd_from,dd_to,mm_from,mm_to,weekday_from,weekday_to,step_start_uom,step_end_uom
5,,Flexi 5 Day Peak,E,NET-VOL,,off-peak,off-peak,Off Peak,22:00,1:00,1,0,AEST,,2018-01-01,9999-12-31,0.2045,KWH,1,31,1,12,0,6,0,9999999999
6,,Flexi 5 Day Peak,E,NET-VOL,,off-peak,off-peak,Off Peak,1:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.2045,KWH,1,31,1,12,0,6,0,9999999999
7,,Flexi 5 Day Peak,E,NET-VOL,,WD-peak,off-peak,Off Peak,15:00,21:00,1,0,AEST,,2018-01-01,9999-12-31,0.3212,KWH,1,31,1,12,0,4,0,9999999999
999,,retailtou,E,NET-VOL,,,SHOULDER,SHOULDER,9:00,17:00,1,,AEST,,2018-01-01,9999-12-31,0.19112,KWH,1,31,1,12,0,4,0,9999999999
1011,62033546576,NMI62033546576,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.3082,KWH,1,31,1,12,0,6,0,9999999999
1060,63053161398,NMI63053161398,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.3926,KWH,1,31,1,12,0,4,0,9999999999
1012,63058522352,NMI63058522352,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.27445,KWH,1,31,1,12,5,6,0,9999999999
1037,63056626966,NMI63056626966,E,NET-VOL,,WD-Shoulder,Shoulder,Shoulder,21:00,22:00,1,0,AEST,,2018-01-01,9999-12-31,0.2844,KWH,1,31,1,12,0,4,0,9999999999
1038,63056626966,NMI63056626966,E,NET-VOL,,WE-Shoulder,Shoulder,Shoulder,7:00,22:00,1,0,AEST,,2018-01-01,9999-12-31,0.2844,KWH,1,31,1,12,5,6,0,9999999999
1040,64074798635,NMI64074798635,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
8,,Flexi 5 Day Peak,E,NET-VOL,,WD-Shoulder,Shoulder,Shoulder,7:00,15:00,1,0,AEST,,2018-01-01,9999-12-31,0.2844,KWH,1,31,1,12,0,4,0,9999999999
9,,Flexi 5 Day Peak,E,NET-VOL,,WD-Shoulder,Shoulder,Shoulder,21:00,22:00,1,0,AEST,,2018-01-01,9999-12-31,0.2844,KWH,1,31,1,12,0,4,0,9999999999
